resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
dry-hill-ski-area,new-york,usa,43.931232,-75.90181,2.7,0.33,0.34,0.33,650,950,300,0.2,26,1,0,2,1.6,3.3,2.2,1.9,10
durango-mountain-resort,colorado,usa,37.630268,-107.81405,3.5,0.2,0.45,0.3,8793,10822,2029,1.3,250,3,0,2,2.8,3.9,3.3,3.1,81
eagle-point,utah,usa,38.320324,-112.38386,3.5,0.2,0.35,0.45,9100,10600,1500,0.9,0,2,1,1,2.5,3.9,3,2.6,12
eagle-rock,pennsylvania,usa,41.202682,-75.377785,3.1,0.5,0.07,0.43,1260,1810,550,1,0,3,0,0,2,3.7,2.6,2.3,12
eaglecrest-ski-area,alaska,usa,58.267502,-134.51401,3.2,0.2,0.4,0.3,1200,2600,1540,2,60,4,0,0,2.1,3.8,2.8,2.3,13
edelweiss-valley,quebec,can,45.648735,-75.852654,2.9,NA,NA,NA,499,1148,656,0.3,130,1,1,1,1.8,3.5,2.3,2.2,8
eldora-mountain-resort,colorado,usa,39.937222,-105.58268,3.1,0.21,0.51,0.19,9200,10800,1600,3,680,4,2,3,2.1,3.7,2.7,2.3,62
elk-mountain-ski-resort,pennsylvania,usa,41.720512,-75.559296,3.3,0.22,0.37,0.41,1693,2693,1000,0.7,146,5,1,1,2.1,3.7,2.8,2.3,96
elko-snobowl,nevada,usa,40.908905,-115.85204,2.2,0.08,0.9,0.01,6300,7000,700,1,2,1,0,1,1.2,2.7,1.9,1.6,1
elm-creek,minnesota,usa,45.138561,-93.437057,3.3,0.2,0.6,0,868,928,60,1,20,0,0,3,2.1,3.9,2.7,2.4,2
enchanted-forest-cross-countryski-area,new-mexico,usa,36.700184,-105.34792,2.8,0.3,0.5,0.02,9820,10078,400,2.5,0,0,0,0,1.6,3.3,2.5,2.2,6
fernie-alpine,british-columbia,can,49.463852,-115.08661,3.3,NA,NA,NA,3451,7001,3550,3.1,125,0,2,3,2.2,3.7,2.8,2.3,53
four-lakes,illinois,usa,41.782578,-88.08374,2.9,0.4,0.3,0.3,400,500,100,0.1,9,0,0,7,1.6,3.5,2,2.1,14
giants-ridge-resort,minnesota,usa,47.577988,-92.303749,3.1,0.31,0.44,0.25,1472,1972,500,1544.4,202,3,0,2,2,3.6,2.7,2.3,11
glen-eden,ontario,can,43.505001,-79.946106,3.2,NA,NA,NA,640,879,240,0.3,10,0,3,4,2.1,3.8,2.6,2.3,5
gore-mountain,new-york,usa,43.673279,-74.006844,3.3,0.1,0.51,0.34,998,3600,2537,4.5,425,2,2,4,2.1,3.7,2.8,2.4,59
grand-geneva,wisconsin,usa,42.610058,-88.404823,2.3,0.4,0.3,0.2,875,1086,211,0.2,30,3,0,3,1.6,2.9,1.9,1.8,13
grand-targhee-resort,wyoming,usa,43.787113,-110.9593,3.7,0.33,0.37,0.25,7851,9920,2270,2.7,0,1,1,1,2.4,3.8,3.3,2.9,58
granite-gorge,new-hampshire,usa,42.970978,-72.212044,2.8,0.35,0.35,0.15,800,1325,525,0.5,39,1,0,3,1.5,3.5,2.5,2.3,4
granite-peak-ski-area,wisconsin,usa,44.92503,-89.685196,3.2,0.3,0.35,0.3,1242,1942,700,0.6,160,0,0,2,2.3,3.7,2.8,2.6,97
great-divide,montana,usa,46.752888,-112.31357,3.2,0.1,0.45,0.45,5750,7330,1580,3,150,5,0,1,2.1,3.7,2.6,2.3,22
greek-peak,new-york,usa,42.512371,-76.147552,3.1,0.48,0.21,0.24,1148,2100,952,1.5,184,4,1,2,2,3.6,2.5,2.2,44
grouse-mountain,british-columbia,can,49.372288,-123.09949,3.1,NA,NA,NA,2890,4101,1260,0.6,156,0,2,1,2,3.6,2.6,2.2,17
gunstock,new-hampshire,usa,43.535385,-71.370087,3.2,0.12,0.61,0,900,2300,1400,1.5,176,0,2,2,2.1,3.7,2.7,2.4,27
heavenly-mountain-resort,california,usa,38.956814,-119.94266,3.5,0.2,0.45,0.3,6565,10067,3502,5.5,3360,3,1,8,3.5,3.6,3.6,3.3,127
hemlock-valley-resort,british-columbia,can,49.379936,-121.93549,3.3,NA,NA,NA,3199,4501,1299,0.8,NA,2,0,1,2.2,3.9,2.2,2.3,3
hickory-ski-center,new-york,usa,43.474411,-73.817345,3.1,0.3,0.3,0.4,700,1900,1200,1,0,0,0,3,2,3.7,2.7,2.3,6
hidden-valley,ontario,can,45.356102,-79.129684,3.1,NA,NA,NA,948,1276,328,0.4,0,0,3,1,2,3.7,2.4,2.2,2
hidden-valley-ski-area,missouri,usa,38.535316,-90.650688,3,0.3,0.35,0.35,2316,2566,310,0.1,30,0,2,3,2,3.6,2.5,2.2,23
hilltop-ski-area,alaska,usa,61.140846,-149.74496,3,0.8,0.1,0,1796,2090,294,1,30,0,0,2,2.2,3.6,2.5,2.2,3
hogadon,wyoming,usa,42.745285,-106.339,3,0.08,0.31,0.38,7400,8000,600,0.6,32,1,0,1,1.7,3.6,2.5,2.1,10
holiday-mountain,new-york,usa,41.629593,-74.614487,2.7,0.3,0.27,0.31,1150,1550,400,0.4,37,1,1,2,1.5,3.4,2.4,2.2,7
holiday-valley,new-york,usa,42.258453,-78.673851,3.3,0.34,0.28,0.37,1500,2250,750,1,266,0,8,2,2.3,3.8,2.8,2.5,53
holimont-ski-area,new-york,usa,42.273163,-78.689438,3.1,0.26,0.28,0.45,1560,2260,700,1.5,135,3,1,1,2.1,3.6,2.6,2.2,10
homewood-mountain-resort,california,usa,39.085583,-120.16054,3.2,0.15,0.5,0.25,6230,7880,1650,2,126,0,0,4,2.1,3.7,2.8,2.3,37
hoodoo-ski-area,oregon,usa,44.408756,-121.87138,3.2,0.3,0.3,0.4,4668,5703,1035,0.4,0,1,3,0,2.1,3.8,2.7,2.2,21
horseshoe-resort,ontario,can,44.550606,-79.672951,3,NA,NA,NA,1033,1332,308,0.4,61,0,0,8,2,3.6,2.6,2.3,18
howelsen-hill,colorado,usa,40.482349,-106.83405,3,0.2,0.3,0.5,6696,7136,440,6,25,1,0,3,1.9,3.5,2.5,2.2,5
hudson-bay-mountain,british-columbia,can,54.811668,-127.33972,3.1,NA,NA,NA,3750,5499,1749,0.8,40,0,0,3,1.6,3.7,2.7,2.2,7
hunt-hollow-ski-club,new-york,usa,42.646095,-77.478119,3.4,0.32,0.21,0.37,1000,2030,825,1,400,1,0,2,2.4,3.9,2.9,2.4,1
hunter-mountain,new-york,usa,42.177868,-74.230423,3.1,0.28,0.24,0.33,1600,3200,1600,2,240,2,2,3,2.1,3.5,2.6,2.3,89
hyland-ski-snowboard-area,minnesota,usa,44.843632,-93.363609,2.8,0.4,0.4,0.2,900,1075,175,1,35,0,2,5,1.9,3.5,2.3,2.2,16
indianhead-mountain,michigan,usa,46.500278,-89.97094,3.4,0.19,0.31,0.41,1297,1935,638,1,150,5,1,2,2.3,3.8,3,2.6,107
jack-frost,pennsylvania,usa,41.110004000000004,-75.65123,3.2,1,0,0,1400,2000,600,1,100,5,1,1,2,3.7,2.7,2.4,42
jackson-hole,wyoming,usa,43.479931,-110.76243,4,0.09,0.34,0.41,6311,10450,4139,4.5,160,1,4,0,3.5,3.7,4,3.3,78
jay-peak,vermont,usa,44.937939,-72.504517,3.5,0.2,0.4,0.4,1815,3968,2153,3,300,1,3,2,2.7,3.7,3.4,2.8,111
jiminy-peak,massachusetts,usa,42.54425,-73.286217,3.5,0.53,0.27,0.13,1230,2380,1150,2,163,1,2,2,2.6,4,3.1,2.7,67
june-mountain,california,usa,37.767918,-119.09063,3.3,0.35,0.45,0.2,7510,10174,2664,2,NA,4,0,1,2.1,3.8,2.8,2.4,24
kelly-canyon-ski-area,idaho,usa,43.644535,-111.63088,3.1,0.35,0.45,0.2,5600,6600,1000,1.3,0,4,0,2,1.6,3.7,2.2,2.1,9
keystone,colorado,usa,39.579166,-105.93474,4.1,0.14,0.29,0.57,9280,12408,3128,3.5,662,3,1,7,3.8,4.1,4.1,3.9,120
kicking-horse,british-columbia,can,51.288185,-116.83627,3.7,NA,NA,NA,3904,8038,4134,6.2,516,1,2,1,2.6,3.4,3.4,2.4,38
killington-resort,vermont,usa,43.619801,-72.802711,3.6,0.28,0.33,0.24,1165,4241,3050,6,500,1,4,6,3.2,3.7,3.4,3.3,174
kimberley,british-columbia,can,49.665157,-115.99672,3.4,NA,NA,NA,4035,6503,2467,4,120,1,0,2,2.2,3.8,3,2.5,18
king-pine,new-hampshire,usa,43.86808,-71.088905,2.8,0.44,0.31,0.1,500,850,350,0.3,45,0,0,3,1.6,3.5,2.5,2.3,8
kirkwood,california,usa,38.702309,-120.07224,3.6,0.12,0.3,0.38,7800,9800,2000,2.5,200,1,1,5,2.3,3.6,3.6,2.8,89
kissing-bridge,new-york,usa,42.60746,-78.652779,3.1,0.2,0.5,0.3,1150,1700,550,0.5,550,4,2,3,1.9,3.4,2.2,2.1,18
labrador-mt,new-york,usa,42.741791,-76.030212,2.9,0.33,0.34,0.33,1125,1825,700,1,237,2,0,1,1.6,3.3,2.3,2.2,14
lake-louise,alberta,can,51.425369,-116.17725,4.1,NA,NA,NA,5400,8652,3251,5,680,0,1,4,3.4,4.1,4.1,3.7,41
las-vegas-ski-and-snowboard-resort,nevada,usa,36.303761,-115.67963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
le-massif,quebec,can,47.284813,-70.569687,3.2,NA,NA,NA,118,2644,2526,3,60,0,0,2,2.1,3.7,2.8,2.3,21
lee-canyon,nevada,usa,36.30358184447736,-115.6797451033666,3.1,0.2,0.6,0.2,8510,11289,860,0.3,50,0,2,0,2.1,3.6,2.6,2.3,44
liberty,pennsylvania,usa,41.558407,-77.104691,3.1,0.35,0.4,0,570,1190,620,1,100,0,5,3,2,3.7,2.5,2.3,62
little-switzerland,wisconsin,usa,43.337837,-88.278931,2.7,0.39,0.33,0,1069,1269,200,1,50,4,0,4,1.8,3.4,2.2,2.1,4
loch-lomond,ontario,can,48.282024,-89.298737,2.3,NA,NA,NA,699,1450,751,1.5,51,2,1,0,1.2,2.9,2.1,1.7,3
lookout-pass-ski-area,idaho,usa,47.456024,-115.69725,3.2,0.09,0.5,0.32,4500,5650,1150,1.5,0,3,0,0,2.1,3.8,2.7,2.3,52
loon-mountain,new-hampshire,usa,44.035969,-71.621437,3.7,0.2,0.6,0.17,950,3050,2100,2.5,322,3,1,3,2.9,3.9,3.2,3.1,70
lost-trail-powder-mtn,montana,usa,45.693512,-113.95013,3,0.2,0.6,0.2,6400,8200,1800,2.5,0,5,0,0,1.8,3.5,2.5,2.2,19
lost-valley,maine,usa,44.134056,-70.282372,2.7,0.47,0.2,0.33,255,495,240,0.3,45,2,0,0,1.5,3.4,2.1,2.1,4
loveland,colorado,usa,39.680153,-105.897861,3.4,0.13,0.41,0.2,10800,13010,2210,2,160,2,3,2,2.1,3.7,3,2.3,82
lutsen-mountains,minnesota,usa,47.663712,-90.713554,3.3,0.1,0.58,0.24,800,1688,825,2,231,4,0,1,2.3,3.8,2.9,2.4,66
mad-river-glen,vermont,usa,44.202484,-72.917542,3.2,0.2,0.35,0.45,1600,3637,2037,1,16,2,0,1,2,3.6,2.7,2.1,26
mad-river-mountain,ohio,usa,40.317669,-83.677933,3.2,0.33,0.19,0.47,1160,1460,300,0.5,144,3,1,6,2.3,3.7,2.7,2.6,71
magic-mountain,vermont,usa,43.20171,-72.772644,3.3,0.3,0.3,0.15,1350,2850,1500,1.6,95,1,0,2,2.2,3.8,3,2.3,27
magic-mountain-ski-area,idaho,usa,42.188961,-114.28536,2.8,0.25,0.25,0.2,6500,7200,700,1.5,0,1,0,2,1.5,3.5,2.6,2.3,11
mammoth-mountain-ski-area,california,usa,37.650875,-119.0368,3.8,0.25,0.4,0.2,7953,11053,3100,3,700,4,1,3,3.2,3.8,3.9,3.7,114
manning-park-resort,british-columbia,can,49.063625,-120.78702,3.3,NA,NA,NA,4452,5869,1417,1.2,NA,2,0,2,0,3.8,0,0,1
maple-ski-ridge,new-york,usa,42.81776,-74.031616,2.4,0.11,0.44,0.44,750,1200,450,0.3,25,1,0,1,1.4,3,2.1,1.9,3
marmot-basin,alberta,can,52.801113,-118.08316,3.2,NA,NA,NA,5571,8570,3002,3.5,200,1,1,1,2.1,3.7,2.7,2.4,25
marquette-mountain,michigan,usa,46.508289,-87.420532,3.2,0.15,0.5,0.35,757,1357,600,0.7,143,2,0,1,2.1,3.7,2.7,2.4,15
massanutten,virginia,usa,38.409569,-78.737801,3.3,0.21,0.57,0.21,1750,2925,1110,0.8,70,0,3,4,2.2,3.7,2.8,2.7,35
massif-du-sud,quebec,can,46.621384,-70.489571,3.4,NA,NA,NA,1316,3002,1686,1.3,NA,0,1,1,2.2,3.9,3,2.5,2
maverick-mountain,montana,usa,45.433914,-113.12858,3.1,0.3,0.4,0.3,6500,8520,2020,1.3,0,1,0,1,2.1,3.6,2.7,2.3,4
mccauley-mountain-ski-center,new-york,usa,43.697193,-74.966156,3.3,0.26,0.43,0.3,1563,2250,633,0.3,55,1,0,4,2.1,3.8,2.9,2.5,13
meadowlark-ski-lodge,wyoming,usa,44.173958,-107.21377,3.1,0.3,0.3,0.2,8500,9500,1000,1.5,NA,1,0,1,2,3.6,2.2,2.3,2
mission-ridge,washington,usa,47.292446,-120.39977,3.2,NA,NA,NA,4570,6820,2250,0.8,66,3,0,2,2.1,3.7,2.7,2.3,28
mohawk-mountain,connecticut,usa,41.835487,-73.310951,3.2,0.3,0.5,0.2,950,1600,650,1.5,100,0,0,3,2.1,3.7,2.7,2.3,38
monarch-mountain,colorado,usa,38.511436,-106.33305,3.5,0.23,0.28,0.36,10790,11952,1162,1,0,4,1,1,2.4,3.8,3.2,2.9,48
mont-blanc,quebec,can,46.109032,-74.482742,3.1,NA,NA,NA,1214,1903,689,0.4,NA,0,3,2,1.2,3.6,2.2,1.7,6
mont-cascades,quebec,can,45.592876,-75.8489,2.9,NA,NA,NA,761,1286,525,0.8,55,2,1,1,1.8,3.4,2.4,2.1,4
mont-orford,quebec,can,45.317612,-72.221252,3.1,NA,NA,NA,1001,2799,1795,1,207,3,2,2,2,3.7,2.7,2.3,4
mont-ripley,michigan,usa,47.130348,-88.559715,2.7,0.21,0.29,0.42,700,1140,440,0.8,112,2,0,2,1.7,3.3,2.4,2.1,5
mont-saint-sauveur,quebec,can,45.881523,-74.150764,3.1,NA,NA,NA,666,1365,699,0.9,57,1,1,1,2.1,3.5,2.4,2.4,12
mont-sainte-anne,quebec,can,47.075352,-70.9049,3.3,NA,NA,NA,574,2625,2051,3.5,340,0,0,4,2.3,3.7,2.9,2.5,22
mont-ste-marie,quebec,can,45.941002,-75.874496,3.1,NA,NA,NA,561,1811,1250,2.2,100,0,0,1,2,3.7,2.7,2.3,17
mont-sutton,quebec,can,45.104729,-72.561836,3.2,NA,NA,NA,1312,3176,1509,1.8,126,6,2,1,2.1,3.7,2.7,2.3,19
montage-mountain,pennsylvania,usa,45.260461709977946,-111.36669967880356,3.4,0.35,0.3,0.2,960,1960,1000,1.2,140,1,1,2,2.5,3.8,3,2.8,124
montana-snowbowl,montana,usa,47.015575,-113.99763,3.2,0.2,0.4,0.4,5000,7600,2600,1.2,20,2,0,2,2.2,3.7,2.8,2.3,19
mount-ashland,oregon,usa,42.183144,-122.66694,3.2,0.05,0.2,0.5,6350,7500,1150,1,0,2,0,1,2.1,3.7,2.6,2.2,12
mount-baldy-ski-corporation,british-columbia,can,49.15295,-119.23641,3.1,NA,NA,NA,5666,6965,1299,0.5,0,1,1,1,2,3.7,2.8,2.3,5
mount-bohemia,michigan,usa,47.388588,-88.022171,3.7,0,0.01,0.88,600,1500,900,1.5,0,1,0,0,2.4,3.2,3.5,2.1,31
mount-brighton,michigan,usa,42.540783,-83.811554,3.1,0.3,0.4,0.3,1100,1330,230,0.1,130,0,2,7,2,3.6,2.6,2.3,26
mount-holiday-ski-area,michigan,usa,44.743477,-85.514351,3.1,0.3,0.4,0.3,240,440,200,0.1,45,2,0,2,2,3.7,2.7,2.3,7
mount-holly,michigan,usa,42.827934,-83.564308,3.2,0.3,0.5,0.2,755,1105,350,0.1,100,1,2,6,2.2,3.8,2.7,2.5,22
mount-kato-ski-area,minnesota,usa,44.133148,-94.033424,3,0.21,0.42,0.37,300,540,240,1,55,3,5,2,1.6,3.5,2.4,2.2,9
mount-la-crosse,wisconsin,usa,43.743626,-91.182976,3.1,0.3,0.2,0.4,594,1110,516,0.4,100,3,0,1,2,3.7,2.7,2.3,13
mount-peter-ski-area,new-york,usa,41.247799,-74.295189,3.2,0.43,0.21,0.21,750,1250,450,1,69,3,0,2,2,3.7,2.6,2.3,43
mount-pleasant-of-edinboro,pennsylvania,usa,41.85099,-80.07029,3.3,0.22,0.56,0.22,1200,1540,340,0.5,35,0,0,1,2.2,3.9,2.8,2.4,3
mount-seymour,british-columbia,can,49.393333,-122.94444,3.3,NA,NA,NA,3068,4150,1083,1,5,2,1,2,2.1,3.8,2.7,2.5,19
mount-shasta-board-ski-park,california,usa,41.321106,-122.2035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mount-snow,vermont,usa,42.963684,-72.887527,3.4,0.14,0.73,0.13,1900,3600,1700,2,480,4,1,5,2.7,3.5,3.1,3.3,106
mount-southington-ski-area,connecticut,usa,41.582062,-72.924919,3.1,0.43,0.43,0.14,100,525,425,0.3,51,2,0,3,2,3.7,2.6,2.3,28
mount-sunapee,new-hampshire,usa,43.33189,-72.080139,3.1,0.26,0.49,0.25,1233,2743,1510,0.8,215,1,1,4,2.2,3.7,2.7,2.4,54
mountain-creek-resort,new-jersey,usa,41.190754,-74.505119,2.8,0.17,0.63,0.2,440,1480,1040,2,167,1,1,2,2.1,2.9,2.5,2.7,128
mountain-high,california,usa,34.376942,-117.69152,3.1,0.2,0.42,0.34,6600,8200,1600,1.6,275,5,2,3,2.1,3.6,2.7,2.4,63
mt-abram-ski-resort,maine,usa,44.379795,-70.706863,3.2,0.19,0.41,0.26,1050,2250,1150,0.5,175,2,0,3,2.1,3.7,2.7,2.3,14
mt-bachelor,oregon,usa,43.979168,-121.68861,3.3,0.14,0.35,0.3,5700,9065,3365,4,20,0,0,2,2.4,3.7,3.3,2.9,67
mt-baker,washington,usa,48.776688,-121.81441,3.4,0.24,0.45,0,3589,5089,1500,0.7,0,0,8,0,2.3,3.7,3,2.4,68
mt-baldy,california,usa,34.236382,-117.65897,3.1,0.2,0.4,0.2,6500,8600,2100,2.5,80,4,0,0,2,3.6,2.7,2.2,63
mt-crescent-ski-area,iowa,usa,41.391773,-95.857193,2.8,0.18,0.45,0.27,1200,1500,300,0.2,50,1,1,0,1.6,3.4,2.3,2.1,14
mt-hood-meadows,oregon,usa,45.331829,-121.6651,3.3,0.15,0.5,0.2,4523,7300,2777,3,0,6,0,2,2.2,3.7,2.9,2.6,76
mt-hood-ski-bowl,oregon,usa,45.294811,-121.77235,3.3,0.2,0.4,0.25,3600,5100,1500,3,29,4,0,5,2.3,3.7,3,2.7,33
mt-jefferson,maine,usa,45.353985,-68.283035,2,0.33,0.34,0.33,351,753,432,0.3,0,0,0,3,3,2.5,1.8,3,1
mt-pakenham,ontario,can,45.324665,-76.329895,3.1,NA,NA,NA,400,719,322,0.2,55,1,1,2,2,3.7,2.5,2.3,7
mt-rose-ski-tahoe,nevada,usa,39.328434,-119.88538,3.3,0.2,0.3,0.4,8260,9700,1800,2.5,330,0,2,2,2.2,3.8,2.8,2.5,35
mt-shasta-board-ski-park,california,usa,41.321702258235376,-122.20036917984382,3.2,0.2,0.55,0.25,5500,6890,1435,1.1,225,0,0,1,2.1,3.7,2.7,2.3,17
mt-spokane-ski-and-snowboard-park,washington,usa,47.921383,-117.09641,3,0.23,0.32,0.45,3818,5889,2000,0.6,0,5,0,0,2.1,3.5,2.4,2.3,22
mt-st-louis-moonstone,ontario,can,44.627666,-79.668579,3.1,NA,NA,NA,751,1253,499,0.4,165,0,3,3,2,3.7,2.7,2.4,36
mt-washington-alpine-resort,british-columbia,can,49.74123,-125.30342,3.1,NA,NA,NA,3625,5210,1657,1.2,0,1,2,4,2,3.7,2.7,2.2,18
mulligans-hollow-ski-bowl,michigan,usa,43.057789,-86.239716,0,0.25,0.25,0.25,570,700,130,0.2,10,0,0,5,0,0,0,0,NA
nakiska-ski-area,alberta,can,50.942703,-115.1511,3.1,NA,NA,NA,5003,7415,2411,1.9,960,1,0,2,2.1,3.7,2.6,2.3,26
nashoba-valley,massachusetts,usa,42.542564,-71.445038,3.1,0.24,0.47,0.29,200,440,240,0.5,52,1,0,7,2.1,3.7,2.5,2.3,17
new-hermon-mountain,maine,usa,44.780785,-68.957268,2.6,0.4,0.3,0.3,100,450,350,1.9,70,1,0,2,1.3,3.2,2.3,1.9,4
nordic-mountain,wisconsin,usa,44.119701,-89.174721,3.1,0.28,0.28,0.33,872,1137,265,1,60,1,0,5,2.1,3.7,2.6,2.3,20
nordic-valley-resort,utah,usa,41.30979127388468,-111.86214483328988,3.3,0.3,0.4,0.3,5440,6400,960,0.4,44,2,0,2,2.3,3.6,2.9,2.6,10
northstar-california,california,usa,39.274841,-120.12061,3.6,0.16,0.47,0.37,6330,8610,2280,1.4,1500,0,1,7,2.9,3.9,3.2,3.3,77
norway-mountain,michigan,usa,45.789494,-87.86985,3.3,0.06,0.33,0.33,835,1335,500,1.4,186,2,0,3,2.2,3.8,2.7,2.4,18
nubs-nob-ski-area,michigan,usa,45.471771,-84.904099,3.2,0.3,0.5,0.2,911,1338,427,0.9,248,2,3,1,2.1,3.7,2.7,2.4,43
oak-mountain,new-york,usa,43.518116,-74.362213,0,0.45,0.27,0.18,1750,2400,650,1.2,18,0,1,2,0,0,0,0,NA
ober-gatlinburg-ski-resort,tennessee,usa,35.708908,-83.521431,3.1,0.2,0.6,0.2,2700,3300,600,1,NA,1,2,1,2.1,3.6,2.5,2.2,33
okemo-mountain-resort,vermont,usa,43.401558,-72.717003,3.8,0.32,0.37,0.23,1144,3344,2200,4,654,0,5,7,2.9,4.1,3.4,3,100
otis-ridge-ski-area,massachusetts,usa,42.196384,-73.098396,2.8,0.3,0.4,0.3,1300,1700,400,1,55,1,0,3,1.3,3.5,2.5,1.8,5
owls-head,quebec,can,45.076603,-72.295189,3.1,NA,NA,NA,682,2470,1772,0.9,147,3,1,1,2,3.7,2.6,2.3,12
pajarito-mountain-ski-area,new-mexico,usa,35.895016,-106.39091,3.2,0.2,0.5,0.3,9031,10441,1410,0.6,35,3,1,1,2,3.7,2.8,2.3,22
panorama-mountain,british-columbia,can,50.460373,-116.23814,3.2,NA,NA,NA,3773,7759,4019,3.4,1140,1,2,3,2.1,3.7,2.7,2.3,20
paoli-peaks,indiana,usa,38.555504,-86.512276,3.2,0.47,0.33,0.13,600,900,300,0.4,65,1,1,2,2,3.7,2.6,2.3,30
park-city-mountain-resort,utah,usa,40.646061,-111.49797,3.7,0.09,0.51,0.3,6800,10000,3200,3.5,500,4,6,5,3.7,3.9,3.8,3.6,111
pats-peak,new-hampshire,usa,43.159439,-71.796043,3.2,0.5,0.21,0.11,690,1460,770,1.5,115,3,0,5,2.1,3.8,2.6,2.4,38
pebble-creek-ski-area,idaho,usa,42.778557,-112.15928,3.2,0.12,0.3,0.29,6360,8560,2200,1.3,30,0,0,0,2.2,3.7,2.8,2.3,25
peekn-peak,new-york,usa,42.062038,-79.735596,3.3,0.3,0.45,0.15,1400,1800,400,2.4,110,0,0,2,2.2,3.8,2.7,2.5,58
perfect-north-slopes,indiana,usa,39.147457,-84.885727,3.2,0.2,0.5,0.2,400,800,400,1,100,0,2,6,2.1,3.8,2.7,2.5,68
pico-mountain-at-killington,vermont,usa,43.65136,-72.840996,3.4,0.18,0.46,0.33,2000,3967,1967,4,156,2,0,1,2.4,3.9,3.2,2.6,29
pine-knob-ski-resort,michigan,usa,42.745632,-83.369102,3.2,0.2,0.2,0.4,1009,1308,300,1,80,0,0,6,2.1,3.7,2.6,2.4,10
pine-mountain,michigan,usa,45.839317,-88.088432,3.4,0.2,0.55,0.25,1150,1650,500,0.5,160,2,0,2,2.8,3.7,3.1,3.1,47
plattekill-mountain,new-york,usa,42.107311,-74.086525,3.2,0.2,0.4,0.2,2400,3500,1100,2,75,1,0,2,2.1,3.7,2.7,2.2,25
pomerelle-mountain-resort,idaho,usa,42.317986,-113.60775,3.2,0.4,0.4,0.2,8000,9000,1000,1.5,50,1,0,1,2.2,3.7,2.7,2.4,27
powder-mountain,utah,usa,41.382336,-111.76387,3.3,0.25,0.4,0.35,6900,9422,2522,3.5,0,0,4,3,2.2,3.7,3,2.4,68
powder-ridge-park,connecticut,usa,41.500523,-72.740746,3.3,0.42,0.37,0.21,170,720,550,0.5,68,2,0,2,2.1,3.8,2.5,2.3,1
powder-ridge-ski-area,minnesota,usa,45.343708,-94.305267,3.2,0.4,0.4,0.2,500,790,300,0,60,2,1,3,2.1,3.8,2.8,2.4,7
powderhorn,colorado,usa,38.276939,-107.09589,3.2,0.2,0.5,0.2,8200,9850,1650,1.5,21,2,0,1,2.1,3.7,2.7,2.3,22
ragged-mountain-resort,new-hampshire,usa,43.503231,-71.842697,3.1,0.23,0.3,0.39,1000,2250,1250,0.7,200,1,0,3,2.1,3.7,2.7,2.3,38
red-lodge-mountain,montana,usa,45.190807,-109.33642,3.2,0.18,0.28,0.35,7016,9416,2400,2.5,496,3,0,1,2.2,3.7,2.7,2.3,30
red-resort,british-columbia,can,49.102413,-117.81947,3.2,NA,NA,NA,3888,6808,2920,4.3,0,1,2,2,2.1,3.7,2.7,2.3,20
red-river,new-mexico,usa,36.708084,-105.40611,3.3,0.32,0.38,0.3,8750,10350,1600,2.5,225,1,1,2,2.2,3.8,2.7,2.3,77
revelstoke-mountain,british-columbia,can,50.958302,-118.16377,3.6,NA,NA,NA,1680,7300,5620,9.5,150,0,0,2,2.4,3.5,3.3,2.6,37
roundtop-mountain-resort,pennsylvania,usa,40.109451,-76.927551,2.9,0.2,0.25,0.4,800,1400,600,0.4,103,0,3,3,1.9,3.6,2.4,2.3,39
royal-mountain-ski-area,new-york,usa,43.081303,-74.504814,3.1,0.33,0.34,0.33,1250,1800,550,0.3,28,3,0,0,2.1,3.7,2.8,2.4,7
saddleback-inc,maine,usa,44.965057,-70.768219,3.1,0.35,0.3,0.25,2460,4120,2000,3.1,125,2,2,1,1.9,3.6,2.7,2.4,22
sandia-peak,new-mexico,usa,35.203705,-106.45057,3,0.31,0.46,0.23,8678,10378,1700,2,30,4,0,1,2.1,3.6,2.6,2.1,18
sapphire-valley,north-carolina,usa,35.125057,-83.057587,3,0,0,0,3200,3450,200,1,8,0,1,2,1.9,3.6,2.5,2.2,5
schweitzer,idaho,usa,48.367287,-116.6234,3.2,0.1,0.4,0.35,4000,6400,2400,2.1,47,3,0,2,2.3,3.5,3.1,2.7,53
searchmont-resort,ontario,can,46.7701,-84.049828,3.1,NA,NA,NA,899,1601,748,0.4,54,1,1,1,2,3.7,2.6,2.3,10
seven-oaks,iowa,usa,42.030697,-93.953384,2.9,0.25,0.5,0.25,800,975,275,1,35,0,0,2,1.9,3.5,2.4,2.1,4
seven-springs,pennsylvania,usa,40.022976,-79.297707,3.1,0.36,0.42,0.18,2240,2994,750,1.2,285,0,3,4,2.3,3.6,2.6,2.5,120
shanty-creek,michigan,usa,44.949333,-85.184845,3.1,0.24,0.24,0.51,675,1125,450,1,70,0,5,1,2.2,3.7,2.6,2.6,53
