resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
white-pass,washington,usa,46.638144,-121.391334,3.3,0.2,0.6,0.2,4500,6550,2050,2.5,30,2,1,2,2.2,3.8,2.8,2.4,36
white-pine-ski-area,wyoming,usa,42.977848,-109.75866,2.3,0.28,0.32,0.4,8400,9500,1100,0.4,0,0,0,0,1.2,2.9,2,1.8,2
whitecap-mountain,wisconsin,usa,46.40799,-90.395195,3.2,0.33,0.33,0.22,1295,1750,400,1,300,4,1,2,2.1,3.7,2.8,2.2,40
whiteface-mountain-resort,new-york,usa,44.297062,-74.010567,3.2,0.2,0.42,0.38,1220,4650,3430,2.1,220,5,1,1,2.3,3.7,2.8,2.4,68
whitefish-mountain-resort,montana,usa,48.480591,-114.35033,3.3,0.12,0.4,0.42,4464,6817,2353,3.3,600,0,2,3,2.2,3.7,2.8,2.4,60
whitetail-resort,pennsylvania,usa,39.741768,-77.933281,3.2,0.32,0.45,0,865,1800,935,1,120,2,3,2,2.1,3.8,2.7,2.5,61
whitewater,british-columbia,can,49.444302,-117.14653,3.2,NA,NA,NA,5400,6640,2044,1.9,0,2,0,1,2.1,3.7,2.8,2.2,16
wild-mountain-ski-snowboard-area,minnesota,usa,45.488842,-92.705307,2.9,0.3,0.33,0.33,813,1113,300,0.9,100,0,4,4,1.8,3.4,2.3,2.1,22
wildcat-mountain,new-hampshire,usa,44.258953,-71.201462,3.2,0.21,0.46,0.33,1950,4062,2112,2.8,200,0,0,1,2.1,3.7,2.8,2.2,25
willamette-pass,oregon,usa,43.600399,-122.03809,3.3,0.21,0.45,0.1,5120,6683,1563,2.1,60,0,0,1,2.2,3.8,2.9,2.4,46
willard-mountain,new-york,usa,43.020657,-73.515884,3.1,0.3,0.4,0.3,910,1415,505,0.4,35,2,0,3,2,3.6,2.6,2.3,7
wilmot-mountain,wisconsin,usa,42.499935,-88.190102,3.2,0.4,0.35,0.25,800,1030,230,0.5,135,2,3,3,2.2,3.6,2.6,2.4,38
windham-mountain,new-york,usa,42.293732,-74.256714,3.3,0.3,0.43,0.16,1500,3100,1600,2,280,1,0,5,2.6,3.9,3.2,3,48
winter-park-resort,colorado,usa,39.886848,-105.76255,3.5,0.24,0.38,0.34,9000,12060,3060,4.6,299,6,0,5,3.1,3.7,3.6,3.4,153
wintergreen-resort,virginia,usa,37.929886,-78.941742,3.2,0.23,0.35,0.42,2512,3515,1003,1,129,1,1,0,2.2,3.7,2.8,2.4,58
winterplace-ski-resort,west-virginia,usa,37.595745,-81.119972,3.1,0.37,0.4,0.23,2997,3600,603,1.2,90,2,2,2,2,3.6,2.6,2.3,43
wisp,maryland,usa,39.562504,-79.378784,3.1,0.35,0.38,0.27,2415,3115,700,1.5,118,0,2,5,2.4,3.6,2.9,2.6,63
wolf-creek,utah,usa,41.310356,-111.86485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wolf-creek-ski-area,colorado,usa,37.474758,-106.79359,3.5,0.2,0.35,0.25,10300,11904,1604,2,0,1,1,3,2.3,3.8,3,2.3,135
wolf-ridge-ski-resort,north-carolina,usa,35.955097,-82.509048,3,0.27,0.6,0.13,4000,4700,720,0.6,65,1,1,2,1.7,3.6,2.5,2.2,27
woodbury-ski-area,connecticut,usa,41.590599,-73.255363,2.2,0.25,0.25,0.25,430,730,300,0.2,50,1,0,4,1.4,2.6,1.9,1.9,15
woods-valley-ski-area,new-york,usa,43.302666,-75.384758,2.9,0.2,0.6,0.2,900,1400,500,0.3,16,2,0,4,1.7,3.6,2.4,2.2,9
yawgoo-valley,rhode-island,usa,41.517597,-71.52726,3.3,0.3,0.4,0.3,70,315,245,0.2,30,2,0,2,2.2,3.8,2.7,2.3,5
yosemite-ski-snowboard-area,california,usa,37.66265838738232,-119.66121973276977,3.2,0.35,0.5,0.15,7200,7800,600,0.4,0,3,0,1,2.1,3.8,2.6,2.2,17
